
DT30,Bedok Reservoir,Blue,Downtown
DT31,Tampines West,Blue,Downtown
DT32 EW2,Tampines,Blue,Downtown
DT33,Tampines East,Blue,Downtown
DT34,Upper Changi,Blue,Downtown
TE1,Woodlands North,Brown,Thomson–East Coast
TE3,Woodlands South,Brown,Thomson–East Coast
BP2,South View,,
BP3,Keat Hong,,
BP4,Teck Whye,,
BP5,Phoenix,,
BP7,Petir,,
BP8,Pending,,
BP9,Bangkit,,
BP10,Fajar,,
BP11,Segar,,
BP12,Jelapang,,
BP13,Senja,,
TE4,Springleaf,,
TE5,Lentor,,
TE6,Mayflower,,
TE7,Bright Hill,,
TE8,Upper THomson,,
TE12,Napier,,
TE13,Orchard Boulevard,,
TE15,Great World,,
TE16,Havelock,,
TE18,Maxwell,,
TE19,Shenton Way,,
TE22,Gardens by the Bay,,
SW1,Cheng Lim,,
SW2,Farmway,,
SW3,Kupang,,
SW4,Thanggam,,
SW5,Fernvale,,
SW6,Layar,,
SW7,Tongkang,,
SW8,Renjong,,
SE1,Compassville,,
SE2,Rumbia,,
SE3,Bakau,,
SE4,Kangkar,,
SE5,Ranggung,,
PW1,Sam Kee,,
PW2,Teck Lee,,
PW3,Punggol Point,,
PW4,Samudera,,
PW5,Nibong,,
PW6,Sumang,,
PW7,Soo Teck,,
PE1,Cove,,
PE2,Meridian,,
PE3,Coral Edge,,
PE4,Riviera,,
PE5,Kadaloor,,
PE6,Oasis,,
PE7,Damai,,
